input_diol_nO,input_diol_nCO2,input_diol_nCO3,input_diol_nC,input_diol_nCH3,input_iso_nC6H6,input_iso_nC6H12,input_iso_nC,input_iso_nCH3,input_Ui,input_NCO/OH PP,output_E,output_CO_free_W,output_Tm_ss
1,0,0,4,0,2,0,1,0,0,2.251814751,7.24271,1726.41,300
1,0,0,4,0,2,0,1,0,0,5.137142999,22.8957,1724.39,300
0,2,0,6,0,2,0,1,0,0,2.251814751,10.4377175,1733.1,319
0,2,0,6,0,2,0,1,0,0,5.137142999,35.031825,1733.01,319
0,2,0,8,0,2,0,1,0,0,2.251814751,8.6312275,1732.09,286
0,2,0,8,0,2,0,1,0,0,5.137142999,25.9176,1732.03,286
0,2,0,7,0,2,0,1,0,0,2.251814751,9.386945,1730.08,326
0,2,0,7,0,2,0,1,0,0,5.137142999,32.017775,1730.93,326
0,0,1,6,0,2,0,1,0,0,2.251814751,15.617937,1741.04,328
0,0,1,6,0,2,0,1,0,0,5.137142999,35.7928,1742.38,328
1,0,0,2,1,2,0,1,0,0,2.251814751,1.9244375,1728.97,233
1,0,0,2,1,2,0,1,0,0,5.137142999,11.74445,1727.55,233
1,0,0,4,0,1,0,0,1,1,2.17861311,19.401575,1731.61,300
1,0,0,4,0,1,0,0,1,1,4.440935292,45.23705,1726.96,300
0,2,0,6,0,1,0,0,1,1,2.17861311,30.0309,1734.04,319
0,2,0,6,0,1,0,0,1,1,4.440935292,58.7388,1733.87,319
0,2,0,8,0,1,0,0,1,1,2.17861311,19.3545925,1732.13,286
0,2,0,8,0,1,0,0,1,1,4.440935292,60.332425,1731.96,286
0,2,0,7,0,1,0,0,1,1,2.17861311,31.89455,1731.13,326
0,2,0,7,0,1,0,0,1,1,4.440935292,60.212625,1731.03,326
0,0,1,6,0,1,0,0,1,1,2.17861311,37.3754,1741.06,328
0,0,1,6,0,1,0,0,1,1,4.440935292,85.957,1741.94,328
1,0,0,2,1,1,0,0,1,1,2.17861311,11.78465,1725.62,233
1,0,0,2,1,1,0,0,1,1,4.440935292,25.223825,1714.88,233
1,0,0,4,0,0,0,6,0,0,2.979256925,18.502625,1720.28,300
1,0,0,4,0,0,0,6,0,0,6.796683094,28.0505,1719.15,300
0,2,0,6,0,0,0,6,0,0,2.979256925,39.72615,1734.8,319
0,2,0,6,0,0,0,6,0,0,6.796683094,65.63575,1732.17,319
0,2,0,8,0,0,0,6,0,0,2.979256925,21.6276,1732.33,286
0,2,0,8,0,0,0,6,0,0,6.796683094,51.35775,1731.88,286
0,0,1,6,0,0,0,6,0,0,2.979256925,33.60215,1740.95,328
0,0,1,6,0,0,0,6,0,0,6.796683094,59.6516,1741.87,328
1,0,0,4,0,0,1,1,3,0,5.603127582,15.265085,1719.9,300
0,2,0,6,0,0,1,1,3,0,2.456073659,10.22896,1733.57,319
0,2,0,6,0,0,1,1,3,0,5.603127582,27.099275,1721.08,319
0,2,0,8,0,0,1,1,3,0,5.603127582,16.00069,1729.54,286
0,2,0,7,0,0,1,1,3,0,5.603127582,30.962,1723.38,326
0,0,1,6,0,0,1,1,3,0,2.456073659,27.7421,1740.15,328
0,0,1,6,0,0,1,1,3,0,5.603127582,41.868875,1741.59,328
1,0,0,4,0,0,2,1,0,0,2.173559051,5.191605,1719.55,300
1,0,0,4,0,0,2,1,0,0,4.958615535,17.362625,1715.41,300
0,2,0,6,0,0,2,1,0,0,2.173559051,5.5765375,1734.66,319
0,2,0,6,0,0,2,1,0,0,4.958615535,30.118625,1734.84,319
0,2,0,8,0,0,2,1,0,0,2.173559051,4.05169125,1732.08,286
0,2,0,8,0,0,2,1,0,0,4.958615535,19.22855,1732.85,286
0,2,0,7,0,0,2,1,0,0,4.958615535,22.429375,1731.89,326
0,0,1,6,0,0,2,1,0,0,4.958615535,39.20315,1742.8,328
1,0,0,2,1,0,2,1,0,0,4.958615686,13.94113,1713.26,233
1,0,0,4,0,2,0,1,0,1,2.0,30.975825,1730.56,300
0,0,1,6,0,2,0,1,0,1,3.771732796,78.21695,1741.96,328
0,2,0,6,0,0,1,1,3,1,3.992868501,67.45945,1735.7,319
0,0,1,6,0,0,1,1,3,1,2.0,50.4698525,1743.84,328
0,2,0,6,0,0,0,6,0,1,2.209594824,46.8873,1734.09,319
1,0,0,2,1,1,0,0,1,0,2.9,2.9417025,1726.88,233
0,2,0,6,0,0,1,1,3,0,3.787,19.4164625,1734.97,319
0,2,0,7,0,0,1,1,3,0,3.787522881,22.9909,1727.83,326
0,2,0,6,0,0,2,1,0,0,3.351855679,29.617225,1734.51,319
0,2,0,8,0,0,2,1,0,0,3.351855679,15.60831,1732.44,286
0,0,1,6,0,0,2,1,0,0,3.351855679,35.569925,1744.04,328
1,0,0,2,1,2,0,1,0,0,3.472535077,6.08632,1728.16,233
0,2,0,8,0,0,0,6,0,0,4.594320826,34.53846667,1731.99,286
1,0,0,4,0,1,0,0,1,1,4.488134896,41.81736667,1727.3,300
0,2,0,7,0,1,0,0,1,1,4.48813458,55.33635,1731.44,326
